date	Ageing	Aids	Animal Welfare	Bird Flu	BSE	Coal Pits	EU	Countryside	Crime	Defence	Drug Abuse	Economy	Education	Farming	German Reunification	GM foods	Housing	Inflation/Prices	Inner Cities	Local Govt	Low Pay	Morality	NHS	Northern Ireland	Nuclear Power	Nuclear Weapons	Pensions	Fuel Prices	Environment	The Pound	Poverty/Inequality	Privatisation	Public Services	Immigration	Scots/Welsh Assembly	Taxation	Trade Unions	Transport	Tsunami	Unemployment
19881201							3	2	41	25	5	8	19			1	7	2		2	2	6	35			2	10	3	10	1	5	1	2	35	1	6		3		6
19890101							3	1	36	27	5	10	25				5	3		2	2	5	38	0		1	20	4	12		5		2	41		5	0	2		6
19890201				2			3	2	30	23	3	9	28				6	2		2	2	5	47	0		1	12	5	11		5		3	35		7		3		7
19890301				1			3	2	26	29	5	9	28	0			6	2		3	2	6	37			2	13	2	9		8		3	30		8		3	0	5
19890401							3	1	28	34	6	11	25				6	2		3	2	5	33			2	13	3	8		6			30	1	7		3		9
19890501							4	2	36	26	7	10	28				6	2		3	2	7	30			2	11	4	9		7	1	2	28		7		3		7
19890601							3	1	34	41	7	13	27			1	4	2		3	1	5	29			1	14	1	6		4	1	2	25		9		3		7
19890701		1	1				5	1	31	31	6	10	26				6	2		4	1	5	34			1	12	3	6		6		3	30	0	7	0	4	1	6
19890801							5	1	25	46	5	11	21				5	3		3	2	7	28			2	10	5	6		6		2	32		8	0	4		7
19890901							4	1	24	56	4	13	19				6	2		2	1	4	28			1	8	4	4		7		1	35		4		3		7
19891001		0	0				7	1	25	58	3	10	20				5	1		2	2	5	29			1	8	2	7		7		2	32		6	0	5	1	8
19891101							19	1	30	16	4	11	24				6	2		2	1	4	36	0		1	11	1	7		7		2	33		8		5	1	8
19891201							9	1	40	14	7	11	26				8	2		3	1	10	36			1	14	2	6		5		3	27		8		4		7
19900101					0		5	2	29	24	6	12	30	1		1	9	2		3	2	6	44			1	13	2	4		8		3	33		6		4		8
19900201							8	1	29	25	5	10	26				7	2		3	2	6	38			1	14	1	6		7	1	3	40		7		4		8
19900301					0		7	2	26	34	5	10	24			1	8	2		3	2	6	34			2	11	1	5	1	8	1	3	26		8	0	4	3	7
19900401							6	1	30	40	5	10	25				6	2		2	2	6	33			2	13	2	4		7	1	4	25		9		7		6
19900501		1	1				9	1	27	47	6	10	22			1	5	2		1	2	5	32			2	12	2	5	1	6	1	3	24		6	0	6		6
19900601		0	0				7	2	28	47	7	11	26	0			7	3		2	1	4	36			2	20	1	3	1	5		3	25		9	0	4		7
19900701							8	1	27	36	6	10	29			1	7	3		3	2	5	34			1	15	2	4	1	4		4	26		8		5		8
19900801							9		28	38	6	10	23	0		1	6	4		4	1	4	34			2	8	3	4		3	1	2	30		8		6		7
19900901							11	1	28	34	4	10	27			1	7	2		3	2	4	40	0		2	12	2	2	1	5	1	5	31		9		8		7
19901001					0		16	1	20	35	5	7	28			1	7	2		1	1	4	44	0		1	10	3	3	1	4	0	3	28		5		7		6
19901101							17	1	21	47	6	9	25			1	8	3		3	2	4	34			3	9	3	4		5		3	30		8		7		7
19901201		1	1		0		9	1	19	47	3	9	29				8	2		2	2	4	34			4	10	1	2		6		3	36		7		5		7
19910101					0		5	1	22	41	6	11	27			2	6	3		4	2	7	35			2	12		4		6	1	5	31	1	10		7		8
19910201							7	1	26	28	6	9	33			1	5	2		4	2	5	37	0		3	13	1	3	1	5	1	3	35	1	10	0	6		8
19910301							9	2	23	26	4	10	32			1	6	2		4	2	4	36			3	13	1	4		5	1	4	29	1	11		9		8
19910401		1	1				12	1	22	26	5	12	33				5	2		4	2	4	41			4	11	1	4		6	1		29	1	10		8		7
19910501		1	1				7	1	29	40	4	11	27				5	2		3	2	6	46			3	10	1	2	1	5	1		26		7	1	7		8
19910601		1	1				12	1	25	21	6	10	26			1	5	2		2	2	4	40	1		2	11	1	2		5	1		34		8		8		7
19910701		1	1				13	1	24	37	6	14	28			1	7	2		2	3	5	40			4	12	1	2		5			29		6	1	7		9
19910801							9	1	24	20	6	12	33				7	3		3	3	5	45			4	10	1	2	1	6	1		35		6		10		10
19910901		1	1		1		11	1	26	24	4	9	33			1	6	2		1	2	6	43			4	11	1	4	1	6	1		29	1	4	1	9		10
19911001							26	1	22	21	6	10	27	0		1	6	3		3	1	5	41			2	9	1	3	1	6			29		6		9		7
19911101							22	1	25	24	5	13	30				5	2		2	3	3	39	1		3	10	1	2	1	6			33		6		5		8
19911201							7	2	19	26	5	15	32	1			5	2		2	2	3	49			3	9	1	3		7	1		27		7		6		10
19920101							5	1	18	64	2	13	27				5	3		2	2	3	42			9	9	1	2		5			26		7	2	9		8
19920201							4	1	20	69	5	10	27				6	2		1	4	4	44			11	11	2	2	1	5	1		27		5	1	11		9
19920401							5	1	21	64	6	12	27	1			4	3		2	3	4	35			9	6	1	1	0	5	1		34		3	2	6		6
19920501		1	1				8	1	23	35	6	12	29				6	4		1	5	4	38			7	13	1	2	1	7	1		23	0	5	4	12		9
19920601		1	1				8	1	30	40	6	10	29				6	3		2	5	5	42			10	12		3	1	6	1		18	0	3	11	8		9
19920701		1	1				8	1	28	35	7	7	32	1			6	4		2	4	3	45	3		8	9	1	2	1	6	1		18		4	2	11		10
19920801		1	1		1		8	3	28	34	7	10	34	1		1	6	2		1	2	5	41	1		9	9	1	2	1	9	1		21		4	1			8
19920901		1					11	2	31	10	9	12	37	0			8	3		1	3	4	55			2	11	1	2	1	4	1		22	1	3	1			10
19921001							14	1	31	13	10	9	29			1	7	2		1	2	4	54	1		2	11	1	4	1	5			32	1	4		17		10
19921101							14	3	34	13	13	8	32	1		1	7	1		1	2	5	50			3	9	1	3	2	4			39		3		16		6
19921201							10	1	29	19	6	8	28	1			5	1		2	3	6	66	1		2	9	2	4	1	6	1		13		5		12		8
19930101		1	1				11	1	37	18	7	8	30	1			4	2		1	2	4	58	1		3	10	1	3	1	7	1		15		2		14		8
19930201			1				13	1	28	11	5	7	28	1			4	2		2	1	4	72			1	10	1	3	1	5			18		6		18		10
19930301							13	1	23	13	5	12	32	2			3	2		2	2	4	66	2		2	6	2	2	2	6	2		16		3		22		9
19930401					1		19	2	19	40	4	15	29	2			5	1		2	2	3	49	2		2	8	2	2		4			12		2	0	10		14
19930501					1		7	1	14	57	3	12	31	3			4	2		2	3	4	49	2		3	7		2	1	5	1		17		2		8		12
19930601					1		9	1	15	60	4	15	30	3			4	2		1	2	2	43	1		4	7	2	3	1	4	1		27		3		5		11
19930701					2		22	2	22	2	4	13	35	7			6	2		2	3	4	54	1			8	3	4	1	5	1		23		5		9		13
19930801					1		20	3	32	2	5	12	34	4			6	2		2	2	4	52			1	10	3	8	1	6			17		5		11		11
19930901					1		24	2	29	2	9	10	44	7			6	2		1	2	4	58			1	11	4	6	2	6			14		4		11		10
19931001					4		14	3	19	3	6	10	32	41			5	1		1	2	3	41				8	7	5		6			16		4		4		12
19931101					5		17	3	16	1	5	9	29	49			4	2		1	2	2	37				8	4	4	1	5			10		5		6		10
19931201					1		23	1	25	5	5	11	37				7	2		1	3	3	48			1	11	8	5	1	6			18		7		9		12
19940101					1		21	2	30	3	6	11	32				6	3		2	3	4	50				8	8	6	2	6			11		6		9		12
19940201					1		26	2	26	3	7	10	29			1	7	2		2	2	5	45				9	11	9	2	5			8		7		14		7
19940301					3		27	2	13	6	5	12	27			2	6	3		2	4	4	46				14	17	14	1	6			6		9		9		10
19940401					1		24	1	19	4	7	9	25				5	4		2	2	5	44	1			19	22	4	1	8			10		9		12		10
19940501					1		21	2	13	2	3	10	30			1	5	4		2	2	3	46	1			23	31	5	1	7			6		13		7		10
19940601					1		24	1	26	2	6	11	32			1	5	4		1	3	5	49	1			15		4	1	6			11		6		8		16
19940701					1		19	1	34	2	6	12	34			1	7	5		2	3	5	51	1			14		5	2	8			11		11		13		17
19940801		0	0				24	1	23	3	8	9	32			1	7	4		1	4	4	55	1			12		4	2	8			17		7	0	4		17
19940901		1	1		1		19	2	34	4	10	11	30			3	9	3		2	2	6	45	2		1	15		5	1	9	1		16	1	4		6		23
19941001		0	0				17	2	16	3	7	11	35			2	10	2			2	5	53	2		1	14		5	1	9			19	1	6	0	6		21
19941101							20	1	20	2	10	7	37			2	9	3		1	4	5	57	2		1	12		6	1	9			13		5		4		18
19941201					1		25	2	18	3	6	11	32			1	6	4		2	4	4	54	6		1	13		3	2	7			12		5		5		19
19950101		0	0				22	1	24	4	8	11	32			1	9	3		1	4	5	70	2		2	12		5	1	8			7		5		7		20
19950201		2	2		5		32	2	15	4	6	10	33			1	8	3		1	4	5	41	2		1	13		6	1	10	1		4	1	5	0	14		18
19950301		1	1		4		23	2	24	5	8	13	29			1	11	4		2	5	5	40	4		1	14		8	1	10			5		4		12		21
19950401					4		34	3	16	5	7	9	31			1	9	5		1	2	3	41	2		1	12		7	2	11			8		3		10		17
19950501					1		23	3	21	5	12	11	31			2	8	4		1	3	6	39	3		1	14		7	1	14			7	1	2		5		22
19950601					1		25	2	19	5	5	13	30			3	8	6		1	3	4	41	2		1	11		6	1	9	1		10		5	0	7		24
19950701					1		30	1	16	7	6	13	30			1	8	4		1	2	3	39	10		1	7		8	1	7			7	1	4		11		21
19950801					1		37	1	18	16	7	16	29				9	4		1	3	6	35	2		2	10		5	1	8	1		7	2	3		4		19
19950901		1	1				26	1	18	28	6	15	27				9	3		1	3	5	33			3	11		6	1	8			6	1	3	1	3		23
19951001							15	1	20	28	9	13	31				6	5		1	4	3	34	2		4	7		4	1	9			8	2	5		3		27
19951101					1		32	1	16	4	5	15	29				7	4		2	3	5	37	3		1	10		5	1	10			5	1	5		3		25
19951201		1	1		3		30	2	19	8	6	13	29				7	4		1	4	4	39	3		2	11		5	1	9			7	1	3		2		26
19960101					1		27	2	17	7	5	19	32				7	4		2	4	5	49	1		2	10		6	1	5	1		4	1	3		2		26
19960201					1		32	1	17	5	6	18	26				8	6		1	3	5	34	2		1	10		3		8			7	1	3		4		30
19960301					2		26	2	17	8	6	21	32				7	5		2	4	4	37	1		2	11		5	2	7			6		5		3		35
19960401					1		23	2	20	4	8	30	33				8	8		2		5	38	2		1	12		5	3	10			4		1		2		43
19960501					1		20	1	17	3	5	27	31				9	6		1		4	40	1		1	9		4	3	7			6		2		4		44
19960601							13	1	21	7	8	26	33				7	4		1		4	41	11		2	12		7	1	7			4		4		4		36
19960701					1		22	1	19	3	7	17	40				8	4		1		5	45	5		1	13		8	2	9			3		3		8		28
19960801					1		33	1	21	5	8	13	33				8	5		2		6	44	5		2	10		8	2	9			3		3		5		33
19960901					1		22	1	20	4	5	13	39				7	5		2		3	49	11		1	12		6	1	7			3		3		4		30
19961001					1		23		21	5	9	14	39				6	3		1		6	35	10			13		8	1	9			6		3		3		31
19961101					2		22		13	4	5	19	42				6	3		2		4	47	3			17		7	2	7			3	1	4		4		34
19961201					2		16		14	26	3	14	37				7	3		1		3	50	5			19		6	1	8			3		3		3		31
19970101					3		23		19	4	5	14	37				10	3		2		5	42	8			23		7		9			4	1	3		3		32
19970201		1	1		7		28	1	16	2	5	14	31				8	3		1		4	42	3		1	20		9		8			4	1	2		2		31
19970301		1	1		1		31	1	22	4	5	16	36				8	4		1		4	47	1		1	13		7	1				4		1		3		34
19970401		1	1		1		35		26	2	6	14	36				8	4		1		4	47	2		1	12		7	1		1		8	1	2		3		32
19970601		1	1				21	1	28	2	7	17	45				7	4		1		6	45	2		1	12		7					4	2	2		4		35
19970701					1		16	1	27	2	9	18	39				9	5		1		5	47	2		1	13		11	1				5	1	2		7		35
19970801		1	1		1		23	1	23	2	6	19	49				8	4		1		6	46	4		1	13		7	1				4	2	2		4		34
19970901		1	1		1		30		24	2	6	14	45				8	2		1		5	51	4		1	11		10	1		1		3		3				39
19971001					2		43		27	2	3	22	54				7	3		2		5	63	3			17		2			1		3		4				28
19971101		1	1		2		33		28	1	3	18	43				6	4		2		5	49			1	15		6			2		3		3				39
19971201		1	1		2		35		27	2	5	18	45				10	4		1		8	48	2		1	13		5	1		2		3		5	1			38
19980101		1	1		2		29		22	2	4	19	43				9	3		2		5	49	2		1	12		5	1		2		2		4				36
19980201					2		38		37	2	6	24	38				10	4		2		7	42	2			14		4			2		3		4				35
19980301					2		23		37	3	7	19	42				8	5		2		9	43	1			13		3			2		3		3				41
19980401					3		20		41	2	6	13	39				7	2		1		7	36	1			11		4			2		3		4				37
19980501		1	1		8		23		27	3	6	14	32				9	3		1		4	35	2		1	11		5			2		3		4				43
19980601					3		20		30	2	5	15	27				8	2		2		5	33	2			10		7			3		4		3				44
19980701		1	1		5		25		29	2	6	14	31				8	3		1		4	35	4			9		5	1		3		3		3				43
19980801		1	1		15		28		22	1	4	13	28				8	3		1		4	33	4		1	8		3			2		3		2				44
19980901		1	1		18		29		29	2	5	16	30				9	2		1		4	39	1			9		4			2		3		3				42
19981001		1	1				20		24	2	5	17	33				9	3		1		4	34	2		1	8		4			3		4		4	1			46
19981101		1	1			0	16		24	3	5	16	31				9	3		1		3	36	5			8		5	1		3		3		3				44
19981201		1	1				11		24	2	6	18	30				10	3		1		4	39	12			10		7	1		4		3		4				48
19990101		1	1			1	14		27	3	7	20	29				10	3		1		3	41	1			8		4	1		3		4		3				49
19990201							10		23	2	6	19	32				9	4				4	40	2			10		4			3		4		5				51
19990301		1	1				11		25	3	10	19	31				10	4		1		5	39	1	1	1	11		5			3		5		5				52
19990401							17		22	2	5	18	29				12	4				2	45				10		4			4		4		5				51
19990501		1	1				13		24	3	4	20	30				11	3		1		4	44			1	9		5			3		3		5				48
19990601		1	1				12		24	3	4	20	29				10	5		2		5	39	1		1	8		6			5		4		4				52
19990701		1	1				12		23	6	3	20	28				12	5		2		3	39	1		1	9		5	1		2		3		6	1			51
19990801		1	1				26		22	4	3	17	29				11	5		1		3	38	1	1	1	9		5	1		2		4		4				47
19990901		1	1				15		25	2	4	19	29				8	5		1		4	44	1			9		4			3		4		5				53
19991001		1	1				12		25	2	3	21	33				10	6		1		3	41	1			9		3	1		2		4		5				51
19991101		1	1				16		24	2	4	20	25				10	5		1		3	43	2		1	8		4			2		4		4				51
19991201		1	1				25		26	2	4	20	26				10	4		2		5	36	2			9		4			3		5		4				52
20000101		1	1			1	22		23	3	3	22	22				11	6		1		3	38	1			10		5			4		2		5				52
20000201							17		22	2	3	22	18				11	6		1		3	34	1			12		4			5		2		9				55
20000301							14		25	2	4	17	20				10	4		1		4	40	2			11		4			3		2		4				58
20000401		1	1				11		37	3	7	19	22				10	4		1		4	34	3			9		5			2		4		4				62
20000501		1	1				7		33	3	3	20	21				8	5		1		6	34	2			9		4	1		2		5		5	1			59
20000601		1	1				9		33	5	4	19	23				11	5		1		4	36	2	1	1	7		6			3		3		5	2			62
20000701							12		23	7	4	18	20				10	5		1		4	35	2			7		7			4		2		5				65
20000801		1	1				13		30	2	4	22	21				11	5		1		4	29	1			9		4			3		2	0	11	1			66
20000901		1	1				12		32	3	3	24	21				9	6		2		4	35	1		1	10		4			5		4		8				60
20001001		1	1			1	7		33	7	4	24	24				11	5		2		4	38	1			9		6			2		4		9				60
20001101		1	1			1	12		34	5	4	21	25				11	5		2		5	35	2		1	9		4			3		4		11				59
20001201		1	1				4		26	9	5	23	22				10	6		1		5	40	1		1	9		3			2		4		7				61
20010101		1	1				5		31	6	4	30	22				14	5		2		6	32	2			9		5			2		4		6				61
20010201		1	1			1	6		23	4	2	28	19				10	5		2			34	2		1	15		4	1		2		3		4	1			66
20010301		1	1			1	6		28	4	3	30	23		1		9	5		2			35	3		1	13		4			2		4		4				61
20010401		0	0			2	6		33	6	2	30	17				9	7		3			32	1		1	13		3			1				7				61
20010601		1	1				7		29	4	2	32	19		1		9	6		2			32	1		1	11		3	1		2		8		4				61
20010701		1	1			1	10		25	6	2	32	21		1		8	5		1			36	1			9		5			3				3				63
20010801		2	2			0	19		24	4	3	31	18		1		8	5		1			32	1		1	11		7			2				3				66
20010901		1	1			1	9		20	6	2	36	21				9	6		2			37	1			10		4	1		2		4		2				69
20011001		1	1			1	13		24	5	2	30	19				8	6		2			41	1			12		3	1		4		3		2				68
20011101		1	1			1	9		26	8	2	36	19		1		10	6		2			24	2		1	10		5			2		3		1	1			73
20020101		1	1			2	10		34	3	2	33	18		1		10	8		3			24	3		1	9		4	1		1		2		2				78
20020201		1	1			1	10		33	3	2	31	20		1		9	4		2			30				7		5	1		2		2		1	1			81
20020301		2	2			3	8		17	9	2	37	16		1		10	5		3			28			1	7		4	1		3		2		1				79
20020401		2	2				24		12	3	2	41	15		1		17	7		2			24				7		3	1		2		3	0	1				72
20020501		2	2				19		12	2		47	16		1		15	8		5			27	1			7		5	3		2		4		1	1			71
20020601		1	1				19		9	2	1	50	14		1		10	9		3			27				7		4	2		2		2	0		8			74
20020701		1	1				22		11	3	1	53	17		1		13	9		3			21			1	6		7	4		1		3		1				61
20020901		2	2				10		14	7	2	44	18		2		15	13		7			26	1		2	7		8	4		2		6		1	1			64
20021001							10		17	3		35	20				12	7		5			28			1	7		14											61
20021101		1	1				17		16	3	2	26	21		1		11	9		5			30	1		2	9		15	1		1		4		1				57
20021201		2	2				14		15	4	2	27	23		1		11	9		7			32	1		1	8		13			2		5		1				57
20030101							10		11	3		32	27				9	8		7			41	1		1	8		10											53
20030201							9		13	4		40	27				11	10		9			49	2		1	10		7											56
20030301							12		11	6		37	24				12	11		8			43	2		3	9		5											54
20030401							24		15	6		31	17				17	10		9			34	1		2	8		4											41
20030501							32		12	4		28	24				9	9		10			42	1		2	10		7											48
20030601							9		15	8		24	21				9	11		8			51	1		2	10		10											54
20030701							8		23	6		26	26				9	12		9			45			1	9		7											54
20030801							6		13	9		34	19				13	17		11			34			2	8		8											54
20030901							8		13	6		34	17				9	14		11			33			2	7		18											53
20031001							18		9	4		28	20				11	18		13			40			1	7		8											52
20031101							5		14	4		28	25				7	16		13			51			1	7		9											45
20031201							4		15	10		27	20				10	21		27			29	1		1	10		10											48
20040101		1	1				5		7	6	1	32	18				8	22		38			24				9		9	1		1		1		3				38
20040201		1	1				3		7	51	1	33	17				8	19		35			23	2			8		5	1		1		1		2				37
20040301		1	1				4		5	65	1	28	17				10	19		28			27	1		3	10		5	1		1		2		1				34
20040401		2	2				14		9	29	2	23	14		1		10	17		29			24	1		2	10		6	1		2		2		2				22
20040501		1	1				18		8	33	1	23	21		2		10	19		36			28	1	1	2	10		9	1		1		1	0	2				22
20040601		1	1				5		12	25	1	25	32		1		6	23		23			31	1	1	2	10		12	2		1		2		2				26
20040701		1	1				3		9	35	2	26	20		1		9	30		22			29	1	1	2	11		14	1		2		3		2				24
20040801		1	1				3		10	31	2	25	17		1		10	32		24			28	1	1	3	10		18	1		2		3		2	1			26
20040901							15		12	4		21	18				8	19		30			30	1		4	11		30											20
